Huber, Patrick, 1961-07-08, M, LEICHTATHLETIK
Grunwald, Martina, 1982-03-10, F, HANDBALL
Eisenhauer, Torsten, 1930-01-12, M, RADSPORT
Unger, Petra, 1941-10-12, F, SCHWIMMEN
Abend, Leonie, 1955-05-30, F, FUSSBALL
Furst, Marko, 1998-09-12, M, SCHWIMMEN
Freeh, Niklas, 1919-01-24, M, TANZEN
Eichmann, Tobias, 1971-07-13, M, RADSPORT
Fiedler, Sandra, 1934-01-04, F, FECHTEN
Burger, Julia, 1978-05-09, F, FECHTEN
Lowe, Wolfgang, 1944-05-30, M, FUSSBALL
Mauer, Lukas, 1937-02-28, M, REITEN
Schneider, Leah, 1935-05-17, F, TURNEN
Bumgarner, Ursula, 1946-04-16, F, RADSPORT
Wulf, Paul, 1923-01-04, M, TANZEN
Koch, Phillipp, 1943-01-22, M, TURNEN
Faerber, Juliane, 1981-01-03, F, REITEN
Meier, Jonas, 1931-12-25, M, RUDERN
Frueh, Anke, 1951-08-24, F, SCHWIMMEN
Bach, Max, 1954-11-23, M, RUDERN
Schwarz, Martin, 1977-05-25, M, TANZEN
Reiniger, Lea, 1969-12-30, F, SCHWIMMEN
Bayer, Juliane, 1921-07-31, F, LEICHTATHLETIK
Unger, Jan, 1997-12-03, M, FUSSBALL
Weisz, Lisa, 1932-09-06, F, LEICHTATHLETIK
Eberhardt, Dirk, 1998-01-03, M, TANZEN
Saenger, Leonie, 1943-11-29, F, RUDERN
Meyer, Daniel, 1935-07-20, M, TURNEN
Walter, Anja, 1959-06-21, F, FECHTEN
Mahler, Dominik, 1918-01-08, M, REITEN
Baier, Alexander, 1971-12-20, M, TANZEN
Hoch, Bernd, 1944-05-04, M, TURNEN
Wulf, Uta, 1980-04-29, F, FECHTEN
Trommler, Jessica, 1973-11-24, F, LEICHTATHLETIK
Gloeckner, Petra, 1976-06-13, F, TURNEN
Brauer, Monika, 1978-04-27, F, RADSPORT
Gersten, Sara, 1966-06-04, F, HANDBALL
Theiss, Thomas, 1933-08-17, M, SCHWIMMEN
Nussbaum, Kristian, 1988-07-26, M, FECHTEN
Bach, Claudia, 1949-06-13, F, SCHWIMMEN
Maurer, Dennis, 1954-07-15, M, TANZEN
Diederich, Nicole, 1946-11-09, F, REITEN
Schreiber, Jennifer, 1933-08-29, F, HANDBALL
Konig, Torsten, 1971-09-13, M, RUDERN
Boehm, Kristian, 1985-08-12, M, FUSSBALL
Abend, Leah, 1995-08-15, F, FECHTEN
Sommer, Marco, 1917-12-10, M, FECHTEN
Muller, Uwe, 1986-08-14, M, SCHWIMMEN
Meier, Klaus, 1993-02-20, M, FUSSBALL
Schiffer, Katharina, 1935-10-26, F, LEICHTATHLETIK
Kuhn, Andrea, 1949-02-27, F, FECHTEN
Eisenberg, Klaus, 1985-01-21, M, REITEN
Rothstein, Philipp, 1989-04-06, M, TANZEN
Jaeger, Christine, 1989-07-18, F, REITEN
Klein, Bernd, 1928-10-15, M, TURNEN
Schiffer, Steffen, 1962-04-13, M, TANZEN
Schuster, Sabine, 1947-09-03, F, TURNEN
Blau, Karolin, 1921-12-18, F, REITEN
Decker, Susanne, 1930-09-16, F, FECHTEN
Ackerman, Jan, 1919-07-15, M, RADSPORT
Pabst, Sophia, 1988-03-24, F, RADSPORT
Koenig, Mike, 1960-05-15, M, FUSSBALL
Gersten, Heike, 1977-06-20, F, TURNEN
Neudorf, Markus, 1973-05-04, M, FECHTEN
Theiss, Anja, 1948-02-10, F, TANZEN
Koch, Christin, 1964-05-22, F, FUSSBALL
Ebersbach, Martina, 1972-03-21, F, TURNEN
Rothstein, Steffen, 1990-12-21, M, REITEN
Brandt, Luca, 1991-09-20, M, HANDBALL
Schaefer, Sven, 1957-09-03, M, LEICHTATHLETIK
Baier, Andreas, 1932-05-24, M, RADSPORT
Koehler, Kathrin, 1950-01-15, F, TANZEN
Koehler, Sebastian, 1999-06-10, M, HANDBALL
Bohm, Philipp, 1942-03-08, M, TANZEN
Moeller, Marko, 1932-05-04, M, RADSPORT
Fleischer, Jens, 1930-01-30, M, REITEN
Papst, Johanna, 1977-04-02, F, TANZEN
Kirsch, Phillipp, 1970-09-13, M, RUDERN
Bosch, Phillipp, 1960-06-25, M, FECHTEN
Herzog, Manuela, 1921-05-21, F, TURNEN
Krueger, Jessica, 1978-08-30, F, TANZEN
Frey, Michael, 1923-10-12, M, LEICHTATHLETIK
Hahn, Melanie, 1937-03-15, F, RUDERN
Pfaff, Lukas, 1935-01-06, M, RUDERN
Baader, Andreas, 1946-07-03, M, HANDBALL
Herrmann, Phillipp, 1967-06-19, M, FUSSBALL
Schaefer, Kristin, 1952-03-04, F, TANZEN
Schulze, Nicole, 1950-03-27, F, RUDERN
Meister, Tom, 1961-08-06, M, LEICHTATHLETIK
Farber, Christian, 1925-01-01, M, TANZEN
Schroeder, Gabriele, 1981-10-06, F, SCHWIMMEN
Schreiber, Silke, 1924-11-20, F, TURNEN
Maur, Janina, 1957-11-14, F, RADSPORT
Wirtz, Marko, 1933-02-18, M, TANZEN
Lemann, Steffen, 1992-01-19, M, RADSPORT
Abendroth, Paul, 1926-07-14, M, FECHTEN
Koehler, Claudia, 1993-12-24, F, FECHTEN
Ehrlichmann, Karolin, 1969-11-12, F, HANDBALL
Achen, Sabrina, 1997-02-26, F, LEICHTATHLETIK
Eberhardt, Diana, 1960-02-09, F, TURNEN
Beike, Matthias, 1945-10-07, M, REITEN
Jager, Johanna, 1940-06-08, F, SCHWIMMEN
Zimmerman, Sven, 1935-12-19, M, RUDERN
Goldschmidt, Leon, 1927-05-13, M, FUSSBALL
Biermann, Stefanie, 1967-08-06, F, FUSSBALL
Weber, Claudia, 1964-07-05, F, HANDBALL
Abt, Susanne, 1984-12-12, F, HANDBALL
Sankt, Jan, 1989-07-29, M, HANDBALL
Hueber, Max, 1919-02-15, M, HANDBALL
Lemann, Martin, 1976-10-22, M, FECHTEN
Ostermann, Uta, 1980-05-03, F, REITEN
Koch, Stefan, 1971-04-04, M, RADSPORT
Aachen, Eric, 1999-02-18, M, TURNEN
Busch, Thomas, 1985-01-02, M, TANZEN
Bohm, Monika, 1917-11-07, F, SCHWIMMEN
Duerr, Julia, 1968-08-20, F, FUSSBALL
Schweitzer, Susanne, 1979-12-04, F, TURNEN
Durr, Michelle, 1973-05-27, F, FUSSBALL
Nacht, Klaus, 1940-08-21, M, TANZEN
Decker, Ralf, 1947-08-19, M, TANZEN
Weissmuller, Sophie, 1932-11-19, F, FECHTEN
Frey, Patrick, 1946-10-25, M, HANDBALL
Schwarz, Dirk, 1966-10-25, M, RADSPORT
Himmel, Yvonne, 1991-08-15, F, FUSSBALL
Seiler, Ralph, 1921-09-17, M, TURNEN
Mayer, Antje, 1995-02-28, F, TANZEN
Lehmann, Kerstin, 1934-03-05, F, TURNEN
Koenig, Lukas, 1945-12-14, M, HANDBALL
Dietrich, Mathias, 1989-03-05, M, REITEN
Vogler, Anja, 1921-01-10, F, TURNEN
Holtzmann, Susanne, 1929-10-11, F, REITEN
Weisz, Klaudia, 1934-04-03, F, RUDERN
Wulf, Heike, 1994-11-02, F, LEICHTATHLETIK
Junker, Alexander, 1930-06-13, M, REITEN
Lowe, Jan, 1922-08-09, M, HANDBALL
Traugott, Juliane, 1964-05-17, F, LEICHTATHLETIK
Fenstermacher, Ute, 1936-10-27, F, REITEN
Farber, Kristin, 1921-06-17, F, TURNEN
Kaufmann, Juergen, 1947-11-09, M, RADSPORT
Ebersbach, Silke, 1957-11-17, F, TANZEN
Eichmann, Ulrich, 1989-08-05, M, FECHTEN
Schulz, Jennifer, 1933-10-24, F, FECHTEN
Klug, Katrin, 1917-12-01, F, RADSPORT
Grunwald, Jana, 1973-03-24, F, FECHTEN
Schwab, Andreas, 1995-12-07, M, FUSSBALL
Saenger, Antje, 1922-07-12, F, RUDERN
Grunwald, Julia, 1930-06-03, F, FUSSBALL
Gottschalk, Ulrike, 1948-03-03, F, HANDBALL
Lang, Marco, 1993-07-16, M, SCHWIMMEN
Pabst, Paul, 1932-10-07, M, FECHTEN
Beyer, Klaus, 1917-08-01, M, HANDBALL
Ehrlichmann, Max, 1974-11-28, M, HANDBALL
Baader, Sabrina, 1972-10-28, F, RUDERN
Dresdner, Uta, 1950-05-26, F, FECHTEN
Himmel, Daniela, 1924-05-25, F, FECHTEN
Huber, Luca, 1968-08-19, M, HANDBALL
Pfeffer, Michael, 1959-08-15, M, REITEN
Pfeiffer, Anja, 1955-07-28, F, FECHTEN
Schroeder, Sophie, 1940-08-03, F, LEICHTATHLETIK
Herrmann, Patrick, 1929-08-02, M, RUDERN
Amsel, Nicole, 1929-06-25, F, REITEN
Beckenbauer, Stefan, 1995-04-16, M, FUSSBALL
Weiss, Silke, 1918-06-18, F, REITEN
Maur, Katrin, 1984-11-06, F, SCHWIMMEN
Schroeder, Ulrike, 1927-09-30, F, REITEN
Eisenberg, Mathias, 1986-06-11, M, FECHTEN
Dresdner, Torsten, 1918-08-24, M, FUSSBALL
Hertz, Torsten, 1949-03-23, M, SCHWIMMEN
Becker, Claudia, 1937-12-09, F, REITEN
Maur, Kathrin, 1918-01-25, F, SCHWIMMEN
Bieber, Christina, 1968-05-29, F, RADSPORT
Abendroth, Sandra, 1949-05-10, F, FUSSBALL
Ritter, Manuela, 1921-11-11, F, HANDBALL
Furst, Phillipp, 1919-12-20, M, TANZEN
Fisher, Annett, 1967-12-31, F, TURNEN
Neustadt, Lisa, 1957-01-06, F, HANDBALL
Luft, Max, 1941-12-28, M, SCHWIMMEN
Maurer, Swen, 1956-04-03, M, HANDBALL
Ritter, Lukas, 1951-09-24, M, FUSSBALL
Sankt, Simone, 1926-09-30, F, FECHTEN
Maurer, Jan, 1992-10-03, M, LEICHTATHLETIK
Gaertner, Markus, 1994-04-05, M, RADSPORT
Vogler, Nadine, 1974-11-12, F, RADSPORT
Koertig, Ulrike, 1949-06-04, F, LEICHTATHLETIK
Gottlieb, Lukas, 1977-07-19, M, TURNEN
Abend, Sabine, 1943-11-06, F, HANDBALL
Bader, Angelika, 1994-08-08, F, FUSSBALL
Dreher, Jonas, 1923-07-25, M, LEICHTATHLETIK
Reiniger, Doreen, 1945-05-03, F, TURNEN
Eggers, Lena, 1982-07-03, F, REITEN
Drechsler, Melanie, 1972-06-11, F, RADSPORT
Holtzmann, Franziska, 1935-12-05, F, TANZEN
Lehrer, Thomas, 1947-03-01, M, FECHTEN
Richter, Nadine, 1940-04-17, F, FUSSBALL
Schmid, Simone, 1998-03-29, F, TANZEN
Glockner, Jan, 1934-12-31, M, TANZEN
Krause, Erik, 1948-11-23, M, HANDBALL
Kuster, Laura, 1999-03-12, F, FUSSBALL
Bachmeier, Michelle, 1936-02-21, F, RADSPORT
Bader, Frank, 1943-02-20, M, FUSSBALL
Kohler, Susanne, 1984-03-09, F, TURNEN
Lowe, Wolfgang, 1955-10-04, M, TURNEN
Neustadt, Kristian, 1993-04-04, M, RADSPORT
Eiffel, Joerg, 1928-05-03, M, TANZEN
Wirth, Maria, 1984-06-08, F, LEICHTATHLETIK
Beich, Ralf, 1995-05-14, M, REITEN
Koenig, Jessika, 1965-11-14, F, HANDBALL
Daecher, Uta, 1935-07-26, F, HANDBALL
Pfeifer, Anja, 1976-09-07, F, REITEN
Schroeder, Niklas, 1966-04-11, M, TANZEN
Goldschmidt, Kristian, 1989-06-22, M, REITEN
Oster, Sandra, 1930-05-14, F, TANZEN
Werner, Felix, 1948-12-13, M, HANDBALL
Beyer, David, 1922-04-04, M, LEICHTATHLETIK
Zimmer, Barbara, 1958-10-24, F, RADSPORT
Ebersbach, Angelika, 1950-12-25, F, SCHWIMMEN
Himmel, Claudia, 1992-10-18, F, FECHTEN
Kuefer, Rene, 1985-04-07, M, FUSSBALL
Kastner, Robert, 1935-05-07, M, LEICHTATHLETIK
Baum, Angelika, 1918-07-30, F, TANZEN
Zimmerman, Ulrich, 1962-06-18, M, HANDBALL
Peters, Eric, 1954-10-12, M, FUSSBALL
Lehmann, Niklas, 1981-08-08, M, HANDBALL
Hartmann, Petra, 1968-11-09, F, TURNEN
Abendroth, Ralph, 1972-11-25, M, TANZEN
Schroder, Peter, 1935-03-16, M, REITEN
Zimmer, Kristin, 1964-03-18, F, RADSPORT
Schultheiss, Lukas, 1966-10-02, M, LEICHTATHLETIK
Mauer, Sara, 1970-01-24, F, TANZEN
Ackerman, Uwe, 1923-04-15, M, REITEN
Drescher, Uta, 1961-03-09, F, REITEN
Vogt, Frank, 1971-01-23, M, TANZEN
Baer, Steffen, 1989-05-27, M, REITEN
Weissmuller, Erik, 1984-10-16, M, TURNEN
Hertz, Nadine, 1920-02-23, F, FUSSBALL
Urner, Sven, 1956-03-24, M, TURNEN
Schreiber, Marco, 1991-08-20, M, RUDERN
Roth, Jessica, 1976-11-19, F, FUSSBALL
Dresdner, Frank, 1954-03-15, M, RUDERN
Brauer, Birgit, 1931-10-06, F, RADSPORT
Zimmer, Dieter, 1927-03-17, M, REITEN
Furst, Sabrina, 1996-08-11, F, SCHWIMMEN
Holtzmann, Torsten, 1972-11-14, M, RUDERN
Faber, Lukas, 1983-11-26, M, HANDBALL
Frankfurter, Michael, 1966-12-29, M, LEICHTATHLETIK
Bieber, Claudia, 1947-05-02, F, FECHTEN
Theiss, Janina, 1936-12-24, F, TANZEN
Hirsch, Klaudia, 1926-01-31, F, FUSSBALL
Baader, Torsten, 1989-01-29, M, TURNEN
Moeller, Mario, 1931-03-20, M, REITEN
Reiniger, Sebastian, 1920-02-13, M, LEICHTATHLETIK
Schroder, Christine, 1948-11-12, F, RUDERN
Freeh, Ines, 1956-03-01, F, FUSSBALL
Maier, Sabrina, 1949-03-24, F, RADSPORT
Schreiner, Petra, 1935-12-07, F, FUSSBALL
Schulze, Thorsten, 1931-10-22, M, TANZEN
Schmitz, Jonas, 1956-08-13, M, TANZEN
Gruenewald, Thorsten, 1995-08-29, M, REITEN
Meister, Tom, 1994-11-18, M, TURNEN
Kaestner, Leonie, 1984-07-29, F, TANZEN
Wulf, Sebastian, 1976-03-01, M, FECHTEN
Theissen, Klaus, 1983-06-25, M, REITEN
Kuester, Susanne, 1945-04-04, F, TANZEN
Mauer, Mario, 1947-10-27, M, RUDERN
Frey, Matthias, 1997-07-06, M, HANDBALL
Kirsch, Lea, 1949-06-02, F, RADSPORT
Bieber, Kevin, 1951-03-27, M, RUDERN
Abt, Jana, 1986-07-15, F, SCHWIMMEN
Kappel, Tobias, 1921-06-07, M, REITEN
Wulf, Marcel, 1977-03-02, M, TURNEN
Bosch, Laura, 1953-11-15, F, RUDERN
Gerber, Kevin, 1958-12-23, M, TURNEN
Kalb, Karin, 1952-12-06, F, RUDERN
Metzger, Janina, 1996-01-28, F, FUSSBALL
Jaeger, Ralph, 1990-02-11, M, RUDERN
Kohl, Susanne, 1926-02-20, F, RADSPORT
Eggers, Florian, 1922-08-10, M, FUSSBALL
Daecher, Silke, 1967-10-16, F, REITEN
Kohler, Kristian, 1928-03-15, M, REITEN
Hofmann, Anja, 1948-08-18, F, FUSSBALL
Pfeiffer, Frank, 1928-12-15, M, RADSPORT
Baier, Robert, 1971-03-24, M, FUSSBALL
Brauer, Markus, 1955-08-28, M, SCHWIMMEN
Bergmann, Laura, 1930-01-24, F, FUSSBALL
Gerber, Heike, 1958-03-25, F, FECHTEN
Boehm, Sven, 1939-11-07, M, LEICHTATHLETIK
Finkel, Christine, 1984-02-07, F, TURNEN
Fuhrmann, Wolfgang, 1942-11-10, M, FUSSBALL
Fuchs, Ralph, 1929-07-08, M, LEICHTATHLETIK
Gaertner, Niklas, 1990-03-02, M, FUSSBALL
Hoover, Vanessa, 1934-09-02, F, TURNEN
Loewe, Sabrina, 1970-09-21, F, REITEN
Achen, Frank, 1925-04-10, M, SCHWIMMEN
Kalb, Nadine, 1950-09-13, F, TURNEN
Herzog, Kerstin, 1925-02-10, F, TANZEN
Weiss, Katharina, 1952-01-29, F, REITEN
Neumann, Andreas, 1956-07-06, M, RUDERN
Farber, Tom, 1944-12-25, M, RADSPORT
Lehrer, Christina, 1996-03-17, F, LEICHTATHLETIK
Cole, Vanessa, 1956-04-02, F, SCHWIMMEN
Reinhardt, Peter, 1918-08-23, M, FECHTEN
Feierabend, Frank, 1983-02-20, M, TURNEN
Neudorf, Ulrike, 1962-11-26, F, TANZEN
Eisenhauer, Tim, 1975-04-13, M, FECHTEN
Braun, Katrin, 1959-10-18, F, LEICHTATHLETIK
Gottlieb, Juergen, 1934-09-20, M, FECHTEN
Ziegler, Kevin, 1981-11-04, M, TURNEN
Hoffmann, Christian, 1943-09-07, M, SCHWIMMEN
Kappel, Luca, 1967-09-08, M, HANDBALL
Pfaff, Stephan, 1991-11-15, M, REITEN
Maier, Uta, 1984-03-13, F, RADSPORT
Mueller, Jennifer, 1973-04-29, F, FECHTEN
Brandt, Janina, 1973-03-25, F, LEICHTATHLETIK
Koenig, Anke, 1931-09-02, F, SCHWIMMEN
Probst, Joerg, 1961-01-28, M, FUSSBALL
Propst, Rene, 1955-09-12, M, FECHTEN
Faerber, Rene, 1940-02-23, M, FUSSBALL
Holtzmann, Matthias, 1935-06-21, M, SCHWIMMEN
Diederich, Robert, 1990-09-24, M, FECHTEN
Ebersbacher, Susanne, 1971-12-01, F, RUDERN
Walter, Ines, 1994-12-10, F, REITEN
Baumgaertner, Niklas, 1984-11-20, M, RUDERN
Beyer, Monika, 1992-02-21, F, LEICHTATHLETIK
Baecker, Wolfgang, 1961-04-21, M, RUDERN
Schuhmacher, Tobias, 1949-11-17, M, RADSPORT
Glockner, Julia, 1942-11-15, F, REITEN
Ebersbacher, Ines, 1958-06-06, F, RUDERN
Austerlitz, Jessica, 1968-11-05, F, RUDERN
Kuster, Uwe, 1978-01-14, M, HANDBALL
Faber, Mathias, 1954-10-23, M, REITEN
Duerr, Dieter, 1963-09-11, M, FUSSBALL
Seiler, Christina, 1943-03-27, F, TANZEN
Pabst, Uwe, 1978-07-03, M, RUDERN
Brauer, Kristian, 1960-07-28, M, TANZEN
Maur, Eric, 1923-11-07, M, HANDBALL
Maur, Patrick, 1919-09-29, M, TANZEN
Pabst, Sebastian, 1983-02-18, M, TANZEN
Kortig, Annett, 1922-01-22, F, LEICHTATHLETIK
Abendroth, Marina, 1998-08-23, F, RUDERN
Koenig, Christine, 1930-06-28, F, TURNEN
Drechsler, Anna, 1935-06-14, F, TURNEN
Glockner, Stephan, 1945-04-04, M, SCHWIMMEN
Fruehauf, Phillipp, 1986-12-31, M, TANZEN
Sommer, Max, 1998-07-20, M, LEICHTATHLETIK
Freud, Barbara, 1952-01-15, F, LEICHTATHLETIK
Werfel, Philipp, 1919-11-06, M, RUDERN
Holzman, Annett, 1922-12-03, F, HANDBALL
Fuhrmann, Karin, 1952-09-23, F, REITEN
Koenig, Thorsten, 1979-03-17, M, RADSPORT
Gaertner, Juliane, 1974-01-13, F, RUDERN
Farber, Martina, 1973-10-12, F, RUDERN
Weiss, Sandra, 1970-07-18, F, HANDBALL
Furst, Alexander, 1922-12-14, M, TURNEN
Ackerman, Alexander, 1966-10-31, M, FECHTEN
Freud, Eric, 1954-11-19, M, TURNEN
Gerste, Kristin, 1953-07-06, F, FUSSBALL
Bar, Torsten, 1939-12-20, M, FUSSBALL
Gaertner, Ute, 1973-07-20, F, LEICHTATHLETIK
Schultz, Yvonne, 1994-11-24, F, HANDBALL
Durr, Michael, 1946-11-12, M, FUSSBALL
Koch, Jonas, 1921-03-29, M, RADSPORT
Bauer, Erik, 1930-07-18, M, TURNEN
Konig, Lisa, 1932-04-18, F, FUSSBALL
Unger, Ute, 1968-07-24, F, HANDBALL
Kuster, Angelika, 1918-03-06, F, TURNEN
Wexler, Maik, 1937-07-03, M, SCHWIMMEN
Schultz, Marcel, 1972-08-20, M, TURNEN
Saenger, Dirk, 1946-12-31, M, RUDERN
Fisher, Felix, 1978-09-16, M, RADSPORT
Nadel, Melanie, 1978-12-27, F, TURNEN
Koehler, Thomas, 1919-06-23, M, SCHWIMMEN
Krueger, Kevin, 1942-03-10, M, RADSPORT
Bayer, Michelle, 1991-07-17, F, RADSPORT
Faust, Marko, 1987-01-21, M, SCHWIMMEN
Rothstein, Juergen, 1965-07-29, M, RUDERN
Reinhardt, Manuela, 1951-03-25, F, RADSPORT
Reiniger, Klaus, 1997-02-20, M, RUDERN
Gerste, Ute, 1948-11-10, F, SCHWIMMEN
Sommer, Sandra, 1995-09-19, F, FUSSBALL
Eichel, Sophia, 1980-01-04, F, TURNEN
Egger, Karolin, 1989-02-21, F, RADSPORT
Huber, Marina, 1944-12-06, F, RADSPORT
Beike, Tobias, 1940-06-19, M, TANZEN
Dietrich, Silke, 1977-05-10, F, RUDERN
Engel, Heike, 1967-01-19, F, RADSPORT
Mehler, Juliane, 1932-07-24, F, FECHTEN
Grunwald, Frank, 1974-03-09, M, RUDERN
Brauer, Juergen, 1938-12-05, M, SCHWIMMEN
Frey, Stephan, 1942-01-04, M, RUDERN
Schmid, Juliane, 1935-02-17, F, RUDERN
Hahn, Kristian, 1982-02-26, M, HANDBALL
Kortig, Jonas, 1919-07-24, M, SCHWIMMEN
Baier, Leah, 1955-10-15, F, LEICHTATHLETIK
Krause, Michelle, 1927-04-15, F, RADSPORT
Huber, Sarah, 1989-07-16, F, FECHTEN
Schmidt, Alexander, 1941-03-11, M, TANZEN
Bumgarner, Kevin, 1935-06-01, M, FUSSBALL
Abendroth, Lucas, 1961-08-15, M, REITEN
Klein, Anke, 1928-07-23, F, REITEN
Bar, Lisa, 1991-05-25, F, TURNEN
Brandt, Heike, 1962-10-16, F, SCHWIMMEN
Zimmerman, Niklas, 1950-12-28, M, TANZEN
Kastner, Markus, 1983-06-26, M, TURNEN
Beich, Melanie, 1929-01-10, F, TANZEN
Schmitz, Rene, 1984-04-16, M, TURNEN
Boehm, Monika, 1998-11-23, F, HANDBALL
Schmidt, Stephanie, 1998-12-04, F, LEICHTATHLETIK
Hofmann, Max, 1953-11-06, M, RADSPORT
Ebersbacher, Andrea, 1942-11-25, F, FUSSBALL
Pfeiffer, Simone, 1936-05-19, F, LEICHTATHLETIK
Lange, Sara, 1962-02-14, F, TURNEN
Koenig, Niklas, 1959-08-13, M, SCHWIMMEN
Schwarz, Sabrina, 1945-04-18, F, HANDBALL
Kastner, Christine, 1983-11-18, F, TANZEN
Abt, Dominik, 1937-07-22, M, RUDERN
Krueger, Torsten, 1979-12-03, M, RUDERN
Hoover, Lukas, 1932-09-30, M, TURNEN
Nadel, Robert, 1967-04-28, M, LEICHTATHLETIK
Maier, Johanna, 1929-06-29, F, RUDERN
Sanger, Jessica, 1917-08-02, F, LEICHTATHLETIK
Kuster, Max, 1972-02-20, M, RUDERN
Konig, Stefan, 1986-08-10, M, RUDERN
Metzger, Paul, 1987-03-11, M, LEICHTATHLETIK
Lehmann, Kristian, 1965-07-22, M, SCHWIMMEN
Ziegler, Karolin, 1918-01-02, F, RUDERN
Krueger, Marco, 1966-09-16, M, HANDBALL
Ebersbach, Tim, 1937-05-24, M, LEICHTATHLETIK
Peters, Steffen, 1968-12-31, M, REITEN
Meister, Birgit, 1975-01-19, F, RUDERN
Weiss, Michael, 1947-04-24, M, TANZEN
Freytag, Karin, 1992-06-17, F, SCHWIMMEN
Ackermann, Heike, 1981-09-21, F, TURNEN
Abendroth, Torsten, 1963-07-24, M, RUDERN
Winkel, Robert, 1919-05-26, M, RADSPORT
Herrmann, Florian, 1997-06-20, M, FUSSBALL
Scholz, Anne, 1936-08-01, F, HANDBALL
Frueh, Niklas, 1985-06-25, M, RUDERN
Propst, Anne, 1988-08-23, F, HANDBALL
Hertz, Martin, 1954-12-01, M, FUSSBALL
Pfaff, Peter, 1935-12-07, M, FUSSBALL
Wirth, Joerg, 1933-12-18, M, RADSPORT
Fisher, Anja, 1969-08-24, F, RUDERN
Zimmermann, Kristian, 1990-04-08, M, LEICHTATHLETIK
Becker, Laura, 1992-01-13, F, REITEN
Austerlitz, Klaudia, 1962-05-28, F, FECHTEN
Mahler, Florian, 1981-04-30, M, TANZEN
Koenig, Jan, 1944-01-23, M, SCHWIMMEN
Reinhard, Karolin, 1936-07-21, F, FUSSBALL
Moeller, Eric, 1931-07-23, M, FECHTEN
Maur, Anke, 1958-02-22, F, REITEN
Saenger, Florian, 1979-12-09, M, SCHWIMMEN
Duerr, Jennifer, 1976-12-05, F, TANZEN
Wexler, Brigitte, 1929-05-07, F, HANDBALL
Strauss, Peter, 1944-06-11, M, TANZEN
Bar, Monika, 1966-11-18, F, RADSPORT
Abendroth, Dominik, 1989-03-21, M, HANDBALL
Thalberg, Bernd, 1948-12-09, M, TANZEN
Scherer, Susanne, 1924-09-19, F, TURNEN
Schreiber, Tobias, 1942-10-11, M, SCHWIMMEN
Kuster, Ralf, 1963-06-02, M, RADSPORT
Herzog, Marina, 1918-10-06, F, FECHTEN
Pfeffer, Sabrina, 1926-03-24, F, RUDERN
Wexler, Yvonne, 1986-09-02, F, HANDBALL
Moeller, Rene, 1975-02-11, M, TANZEN
Faber, Alexander, 1965-03-28, M, SCHWIMMEN
Fenstermacher, Jens, 1988-05-25, M, REITEN
Peters, Thorsten, 1980-10-06, M, FECHTEN
Junker, Laura, 1982-04-02, F, FECHTEN
Drescher, Uwe, 1969-06-15, M, HANDBALL
Hartmann, Maximilian, 1977-07-05, M, RUDERN
Moench, Juliane, 1951-04-18, F, HANDBALL
Drechsler, Lucas, 1983-11-20, M, RADSPORT
Nussbaum, Manuela, 1975-05-31, F, TURNEN
Freeh, Katharina, 1996-02-22, F, TANZEN
Reinhard, Patrick, 1939-08-18, M, LEICHTATHLETIK
Kaufmann, Diana, 1971-02-19, F, HANDBALL
Schultz, Nadine, 1994-10-23, F, FUSSBALL
Keller, Karolin, 1961-05-05, F, RADSPORT
Jager, Kerstin, 1987-08-11, F, TURNEN
Schmitt, Kristian, 1928-05-15, M, REITEN
Dreher, Tom, 1987-05-18, M, SCHWIMMEN
Faust, Sophia, 1927-08-16, F, LEICHTATHLETIK
Eiffel, Markus, 1980-10-17, M, TURNEN
Weber, Sebastian, 1937-04-12, M, TANZEN
Theiss, Barbara, 1929-03-18, F, TURNEN
Theissen, Peter, 1926-09-22, M, TURNEN
Herz, Stefanie, 1930-01-04, F, HANDBALL
Achen, Thorsten, 1993-01-28, M, HANDBALL
Lehmann, Dennis, 1922-03-09, M, TURNEN
Koenig, Christine, 1992-12-24, F, TURNEN
Kirsch, Sarah, 1996-02-20, F, FUSSBALL
Beckenbauer, Johanna, 1928-07-09, F, LEICHTATHLETIK
Schreiner, Jens, 1965-01-06, M, TANZEN
Durr, Markus, 1962-11-23, M, FUSSBALL
Ackermann, Kathrin, 1945-04-06, F, FECHTEN
Herman, Sven, 1973-02-04, M, FECHTEN
Dietrich, Susanne, 1990-07-10, F, HANDBALL
Muench, Christian, 1999-06-01, M, SCHWIMMEN
Fischer, Leon, 1995-11-21, M, FUSSBALL
Kortig, Ines, 1962-05-05, F, FUSSBALL
Eisenberg, Stephanie, 1933-06-27, F, REITEN
Abt, Doreen, 1995-09-28, F, LEICHTATHLETIK
Kuefer, Stephan, 1945-11-11, M, FECHTEN
Meier, Jennifer, 1923-05-13, F, FECHTEN
Furst, Peter, 1975-01-29, M, FUSSBALL
Engel, Dirk, 1945-02-14, M, RADSPORT
Sommer, Marie, 1991-06-25, F, HANDBALL
Koehler, Marina, 1976-03-04, F, FECHTEN
Schweitzer, Janina, 1985-06-07, F, FUSSBALL
Dresdner, Lea, 1932-10-15, F, FECHTEN
Gaertner, Swen, 1996-01-03, M, RUDERN
Schweitzer, Andrea, 1985-10-23, F, RADSPORT
Mayer, Katharina, 1918-02-04, F, LEICHTATHLETIK
Kohler, Lukas, 1938-12-14, M, FECHTEN
