Abt, Andreas, 1944-01-02, M, REITEN
Bauer, Sabrina, 1972-03-16, F, FUSSBALL
Baer, Sara, 1943-04-16, F, TANZEN
Bar, Silke, 1944-04-16, F, RUDERN
Buerger, Stephan, 1953-04-16, M, LEICHTATHLETIK
Beich, Steffen, 1981-04-16, M, RUDERN
Beckenbauer, Stefan, 1995-04-16, M, FUSSBALL
Baer, Sabrina, 1978-08-17, F, TURNEN
Busch, Sara, 1987-08-17, F, RADSPORT
Bach, Sandra, 1935-09-17, F, FUSSBALL
Bachmeier, Sven, 1942-09-17, M, FECHTEN
Bumgarner, Silke, 1967-09-17, F, FECHTEN
Becker, Sophie, 1918-01-21, F, TANZEN
Bachmeier, Sabrina, 1920-01-21, F, TURNEN
Braun, Sabrina, 1928-01-21, F, REITEN
Baier, Stefanie, 1932-01-21, F, HANDBALL
Brandt, Silke, 1935-01-21, F, TURNEN
Baumgartner, Swen, 1942-01-21, M, HANDBALL
Blau, Sven, 1949-01-21, M, TANZEN
Bieber, Sabrina, 1950-01-21, F, FUSSBALL
Beich, Sabrina, 1967-01-21, F, FUSSBALL
Beyer, Susanne, 1983-01-21, F, RADSPORT
Bohm, Stephan, 1928-02-21, M, TURNEN
Bader, Sophia, 1997-02-21, F, HANDBALL
Baecker, Steffen, 1999-02-21, M, SCHWIMMEN
Bachmeier, Sebastian, 1941-06-22, M, FUSSBALL
Baer, Sandra, 1938-07-22, F, TURNEN
Barth, Stefan, 1975-07-22, M, HANDBALL
Braun, Sven, 1986-07-22, M, REITEN
Beich, Swen, 1954-11-23, M, RUDERN
Baumgartner, Sophie, 1985-11-23, F, LEICHTATHLETIK
Bohm, Silke, 1928-12-23, F, FUSSBALL
Bumgarner, Sabrina, 1947-12-23, F, LEICHTATHLETIK
Beckenbauer, Stefanie, 1956-12-23, F, RADSPORT
Baecker, Sara, 1963-12-23, F, REITEN
Bohm, Stephan, 1980-04-27, M, HANDBALL
Bauer, Sophia, 1928-05-27, F, TURNEN
Bach, Sabrina, 1959-05-27, F, LEICHTATHLETIK
Blau, Susanne, 1971-05-27, F, TURNEN
Baer, Steffen, 1989-05-27, M, REITEN
Braun, Simone, 1926-09-28, F, REITEN
Baer, Stephan, 1931-09-28, M, LEICHTATHLETIK
Beyer, Sophia, 1946-09-28, F, FECHTEN
Beich, Sarah, 1952-09-28, F, RADSPORT
Baader, Sabrina, 1972-10-28, F, RUDERN
Busch, Thomas, 1985-01-02, M, TANZEN
Bar, Thomas, 1924-02-02, M, HANDBALL
Bayer, Tim, 1963-02-02, M, TURNEN
Baecker, Thorsten, 1952-03-02, M, RUDERN
Baader, Thomas, 1958-03-02, M, LEICHTATHLETIK
Bar, Thorsten, 1992-03-02, M, FECHTEN
Bergmann, Thomas, 1938-06-03, M, SCHWIMMEN
Bader, Thomas, 1955-07-03, M, FUSSBALL
Beckenbauer, Torsten, 1970-07-03, M, HANDBALL
Baecker, Tim, 1979-07-03, M, REITEN
Bergmann, Tobias, 1992-07-03, M, REITEN
Bayer, Tobias, 1962-11-04, M, LEICHTATHLETIK
Berg, Tobias, 1921-12-04, M, RADSPORT
Bachmeier, Thomas, 1923-12-04, M, SCHWIMMEN
Brandt, Tim, 1929-12-04, M, RADSPORT
Braun, Torsten, 1963-12-04, M, RADSPORT
Bergmann, Thorsten, 1974-12-04, M, RADSPORT
Biermann, Tanja, 1946-04-08, F, RADSPORT
Beike, Tobias, 1920-05-08, M, REITEN
Bieber, Torsten, 1939-06-08, M, SCHWIMMEN
Bauer, Tom, 1943-06-08, M, TANZEN
Beich, Tobias, 1945-06-08, M, LEICHTATHLETIK
Bieber, Tobias, 1949-09-09, M, RUDERN
Braun, Tanja, 1953-09-09, F, TANZEN
Beike, Thomas, 1976-09-09, M, LEICHTATHLETIK
Becker, Torsten, 1997-09-09, M, HANDBALL
Bosch, Tom, 1998-09-09, M, RADSPORT
Boehm, Torsten, 1959-10-09, M, FUSSBALL
Baum, Tanja, 1919-02-13, F, RADSPORT
Bachmeier, Tobias, 1933-03-13, M, TURNEN
Bieber, Tobias, 1919-07-14, M, SCHWIMMEN
Blau, Tobias, 1939-08-14, M, HANDBALL
Brauer, Torsten, 1983-09-14, M, RADSPORT
Bauer, Tom, 1986-09-14, M, TANZEN
Bosch, Tobias, 1950-12-15, M, REITEN
Bieber, Torsten, 1984-12-15, M, LEICHTATHLETIK
Baier, Tim, 1937-05-19, M, LEICHTATHLETIK
Beich, Tom, 1965-05-19, M, RUDERN
Baum, Tanja, 1994-05-19, F, TANZEN
Beike, Tobias, 1940-06-19, M, TANZEN
Baumgaertner, Tanja, 1960-06-19, F, HANDBALL
Brandt, Thorsten, 1967-10-20, M, RADSPORT
Berg, Thomas, 1969-11-20, M, FUSSBALL
Bar, Torsten, 1939-12-20, M, FUSSBALL
Bieber, Tobias, 1964-12-20, M, RUDERN
Bumgarner, Thomas, 1919-03-24, M, FUSSBALL
Brandt, Tim, 1943-03-24, M, RADSPORT
Biermann, Tim, 1956-03-24, M, FECHTEN
Beike, Tobias, 1938-04-24, M, TANZEN
Beckenbauer, Tobias, 1943-08-25, M, TANZEN
Becker, Tom, 1968-01-29, M, HANDBALL
Baader, Torsten, 1989-01-29, M, TURNEN
Beich, Tobias, 1956-06-30, M, TURNEN
Bar, Tobias, 1933-07-30, M, RADSPORT
Bergmann, Torsten, 1971-07-30, M, TANZEN
Brauer, Tanja, 1936-12-31, F, REITEN
Bosch, Uta, 1957-10-01, F, FECHTEN
Baumgaertner, Ulrike, 1988-10-01, F, TANZEN
Blau, Uwe, 1931-11-01, M, LEICHTATHLETIK
Baader, Ursula, 1935-01-04, F, TANZEN
Barth, Ute, 1967-01-04, F, LEICHTATHLETIK
Braun, Ulrike, 1975-01-04, F, RUDERN
Bader, Ulrich, 1961-04-05, M, RUDERN
Boehm, Ute, 1985-04-05, F, TANZEN
Beckenbauer, Ursula, 1959-09-06, F, FECHTEN
Baumgartner, Ulrich, 1920-01-10, M, FUSSBALL
Bergmann, Ursula, 1928-01-10, F, FECHTEN
Beike, Uwe, 1985-02-10, M, TANZEN
Bauer, Ursula, 1948-09-11, F, HANDBALL
Blau, Ulrich, 1972-09-11, M, HANDBALL
Bieber, Uwe, 1969-11-12, M, RADSPORT
Biermann, Ulrich, 1961-12-12, M, FECHTEN
Busch, Ulrike, 1922-02-15, F, REITEN
Bumgarner, Uwe, 1940-04-16, M, HANDBALL
Bumgarner, Ursula, 1946-04-16, F, RADSPORT
Bosch, Ulrike, 1938-09-17, F, RADSPORT
Busch, Ulrich, 1982-09-17, M, LEICHTATHLETIK
Bauer, Ulrike, 1992-09-17, F, REITEN
Baer, Uwe, 1996-09-17, M, FECHTEN
Bachmeier, Ute, 1960-10-17, F, SCHWIMMEN
Bergmann, Ute, 1940-12-17, F, LEICHTATHLETIK
Baumgaertner, Ulrike, 1919-02-21, F, HANDBALL
Bach, Ulrich, 1932-02-21, M, HANDBALL
Bosch, Uwe, 1969-03-21, M, FECHTEN
Beich, Uwe, 1967-05-21, M, TURNEN
Bader, Uta, 1944-08-22, F, FECHTEN
Brauer, Ute, 1954-08-22, F, FUSSBALL
Baumgartner, Ute, 1955-08-22, F, FECHTEN
Bar, Ursula, 1939-12-23, F, RUDERN
Blau, Uta, 1959-12-23, F, SCHWIMMEN
Baer, Uwe, 1930-01-26, M, REITEN
Beike, Ulrike, 1949-01-26, F, RADSPORT
Baumgaertner, Ulrich, 1982-01-26, M, TURNEN
Baer, Uta, 1988-06-27, F, TURNEN
Biermann, Ute, 1947-08-27, F, RADSPORT
Beike, Uwe, 1974-10-28, M, HANDBALL
Bauer, Ute, 1996-10-28, F, RUDERN
Bieber, Uwe, 1926-11-28, M, FECHTEN
Becker, Ulrike, 1961-11-28, F, TANZEN
Baier, Vanessa, 1935-12-04, F, SCHWIMMEN
Bayer, Vanessa, 1919-06-08, F, HANDBALL
Busch, Vanessa, 1967-10-09, F, RADSPORT
Berg, Vanessa, 1936-06-13, F, HANDBALL
Beyer, Vanessa, 1934-08-19, F, RUDERN
Beich, Vanessa, 1981-08-19, F, LEICHTATHLETIK
Baier, Vanessa, 1997-12-20, F, TANZEN
Becker, Vanessa, 1939-07-24, F, LEICHTATHLETIK
Bauer, Vanessa, 1929-09-30, F, FUSSBALL
Baecker, Wolfgang, 1967-12-01, M, FUSSBALL
Barth, Wolfgang, 1962-07-05, M, FUSSBALL
Bach, Wolfgang, 1985-10-06, M, LEICHTATHLETIK
Bader, Wolfgang, 1943-02-15, M, TURNEN
Boehm, Wolfgang, 1949-06-16, M, TANZEN
Baier, Wolfgang, 1978-06-16, M, REITEN
Baecker, Wolfgang, 1961-04-21, M, RUDERN
Biermann, Wolfgang, 1932-06-21, M, RUDERN
Bosch, Wolfgang, 1985-06-21, M, FUSSBALL
Bauer, Wolfgang, 1996-02-26, M, REITEN
Baer, Yvonne, 1944-12-06, F, REITEN
Braun, Yvonne, 1993-12-06, F, TANZEN
Beike, Yvonne, 1984-07-10, F, FECHTEN
Bumgarner, Yvonne, 1966-09-11, F, TANZEN
Bieber, Yvonne, 1991-10-11, F, TANZEN
Bader, Yvonne, 1981-08-16, F, HANDBALL
Baum, Yvonne, 1930-10-22, F, REITEN
Buerger, Yvonne, 1962-10-22, F, TURNEN
Baumgartner, Yvonne, 1983-06-26, F, SCHWIMMEN
Cole, Anne, 1967-06-03, F, FECHTEN
Cole, Anke, 1917-11-04, F, RUDERN
Cole, Brigitte, 1984-09-17, F, HANDBALL
Cole, Claudia, 1918-06-19, F, RADSPORT
Cole, Claudia, 1933-12-20, F, REITEN
Cole, Christian, 1960-04-24, M, RUDERN
Cole, Christine, 1984-04-24, F, FUSSBALL
Cole, Erik, 1961-10-14, M, REITEN
Cole, Eric, 1992-04-18, M, TURNEN
Cole, Franziska, 1934-02-15, F, HANDBALL
Cole, Ines, 1940-05-07, F, RUDERN
Cole, Ines, 1918-04-23, F, RADSPORT
Cole, Ines, 1927-08-24, F, SCHWIMMEN
Cole, Jennifer, 1924-11-05, F, RADSPORT
Cole, Jan, 1988-05-15, M, FECHTEN
Cole, Joerg, 1971-01-25, M, TANZEN
Cole, Kristian, 1942-08-07, M, SCHWIMMEN
Cole, Klaudia, 1980-08-07, F, REITEN
Cole, Karin, 1925-01-22, F, RUDERN
Cole, Luca, 1948-02-03, M, TURNEN
Cole, Lea, 1940-05-04, F, FECHTEN
Cole, Mario, 1998-07-07, M, RADSPORT
Cole, Martina, 1917-09-07, F, FUSSBALL
Cole, Marie, 1934-09-07, F, HANDBALL
Cole, Marie, 1945-05-17, F, FECHTEN
Cole, Melanie, 1990-09-18, F, REITEN
Cole, Martin, 1961-06-28, M, RADSPORT
Cole, Marina, 1988-06-28, F, FUSSBALL
Cole, Marina, 1954-09-29, F, RADSPORT
Cole, Ralf, 1928-03-02, M, FUSSBALL
Cole, Rene, 1954-06-03, M, RUDERN
Cole, Steffen, 1976-09-06, M, SCHWIMMEN
Cole, Susanne, 1974-01-10, F, LEICHTATHLETIK
Cole, Sven, 1996-04-21, M, SCHWIMMEN
Cole, Stefan, 1921-05-27, M, FUSSBALL
Cole, Torsten, 1960-03-02, M, FUSSBALL
Cole, Tobias, 1970-12-04, M, FUSSBALL
Cole, Thorsten, 1974-02-07, M, LEICHTATHLETIK
Cole, Tobias, 1988-06-24, M, HANDBALL
Cole, Uta, 1996-02-15, F, RUDERN
Cole, Ursula, 1977-12-28, F, LEICHTATHLETIK
Cole, Vanessa, 1956-04-02, F, SCHWIMMEN
Durr, Anne, 1945-02-02, F, LEICHTATHLETIK
Drechsler, Alexander, 1923-08-03, M, TURNEN
Decker, Anke, 1972-08-03, F, TURNEN
Dresner, Andrea, 1992-08-03, F, HANDBALL
Decker, Anne, 1966-05-08, F, TURNEN
Drescher, Anne, 1975-06-08, F, RADSPORT
Durr, Antje, 1919-08-09, F, FECHTEN
Durr, Andreas, 1934-10-09, M, TURNEN
Durr, Alexander, 1992-11-09, M, HANDBALL
Drechsler, Anna, 1935-06-14, F, TURNEN
Duerr, Antje, 1957-06-14, F, REITEN
Drechsler, Andreas, 1962-06-14, M, TANZEN
Drechsler, Annett, 1968-06-14, F, FUSSBALL
Diederich, Anna, 1971-06-14, F, FUSSBALL
Drechsler, Andreas, 1952-09-14, M, RUDERN
Duerr, Andrea, 1981-01-18, F, LEICHTATHLETIK
Dresdner, Anne, 1983-01-18, F, FUSSBALL
Diederich, Alexander, 1997-11-20, M, LEICHTATHLETIK
Durr, Alexander, 1998-11-20, M, TURNEN
Dresdner, Anja, 1975-07-25, F, FECHTEN
Duerr, Anke, 1990-07-25, F, RADSPORT
Dreher, Anna, 1924-10-25, F, FUSSBALL
Diederich, Annett, 1926-10-25, F, LEICHTATHLETIK
Drescher, Anna, 1964-10-25, F, REITEN
Durr, Birgit, 1948-08-06, F, TANZEN
Dresner, Benjamin, 1995-06-11, M, RADSPORT
Dresner, Bernd, 1941-08-11, M, REITEN
Diederich, Brigitte, 1987-10-17, F, RADSPORT
Decker, Barbara, 1999-03-21, F, FUSSBALL
Drechsler, Brigitte, 1920-07-22, F, FECHTEN
Drescher, Brigitte, 1980-08-22, F, REITEN
Drescher, Bernd, 1994-09-22, M, REITEN
Durr, Birgit, 1964-05-27, F, REITEN
Drechsler, Benjamin, 1987-06-27, M, RADSPORT
Dietrich, Barbara, 1932-10-28, F, RUDERN
Dreher, Brigitte, 1956-10-28, F, FECHTEN
Diederich, Brigitte, 1965-10-28, F, REITEN
Daecher, Bernd, 1970-11-28, M, RUDERN
Dietrich, Bernd, 1989-11-28, M, LEICHTATHLETIK
Drechsler, Christin, 1987-03-02, F, RADSPORT
Dietrich, Christine, 1942-09-03, F, LEICHTATHLETIK
Dreher, Christin, 1921-01-07, F, RUDERN
Daecher, Claudia, 1948-02-07, F, RADSPORT
Drescher, Christina, 1926-12-09, F, RADSPORT
Dresdner, Christina, 1926-04-13, F, SCHWIMMEN
Drechsler, Christine, 1996-04-13, F, FUSSBALL
Dresner, Christin, 1925-10-14, F, FUSSBALL
Duerr, Claudia, 1995-10-14, F, SCHWIMMEN
Decker, Claudia, 1999-04-18, F, FUSSBALL
Dietrich, Dennis, 1974-11-01, M, HANDBALL
Durr, David, 1983-11-01, M, FECHTEN
Daecher, Dirk, 1940-02-04, M, TURNEN
Dreher, Dominik, 1984-02-04, M, TANZEN
Dresner, Dirk, 1947-05-05, M, TURNEN
Daecher, Dirk, 1966-05-05, M, TANZEN
Dietrich, Daniel, 1928-06-05, M, RADSPORT
Drechsler, Doreen, 1946-07-05, F, TANZEN
Dresdner, Dirk, 1960-10-06, M, LEICHTATHLETIK
Dresner, Daniel, 1917-12-06, M, LEICHTATHLETIK
Drechsler, Diana, 1939-12-06, F, TURNEN
Dietrich, Doreen, 1993-12-06, F, REITEN
Duerr, Dirk, 1943-04-10, M, FUSSBALL
Diederich, Daniel, 1971-05-10, M, TURNEN
Decker, Daniela, 1997-05-10, F, TANZEN
Duerr, Dieter, 1963-09-11, M, FUSSBALL
Durr, Dirk, 1944-12-12, M, FECHTEN
Dreher, Diana, 1975-12-12, F, RADSPORT
Decker, Daniel, 1943-01-15, M, HANDBALL
Daecher, David, 1971-02-15, M, HANDBALL
Dreher, Dirk, 1972-02-15, M, HANDBALL
Durr, David, 1946-06-16, M, TANZEN
Dresdner, Doreen, 1918-11-17, F, HANDBALL
Dreher, Daniela, 1962-01-20, F, SCHWIMMEN
Decker, David, 1941-04-21, M, RADSPORT
Drescher, Daniel, 1926-05-21, M, TURNEN
Dietrich, Doreen, 1994-09-22, F, REITEN
Diederich, Daniel, 1960-10-22, M, HANDBALL
Duerr, Doreen, 1972-11-22, F, TURNEN
Dresner, Dennis, 1997-11-22, M, LEICHTATHLETIK
Dresner, Doreen, 1957-02-26, F, TURNEN
Daecher, Daniel, 1989-03-26, M, FUSSBALL
Diederich, Dennis, 1992-03-26, M, RUDERN
Durr, Dominik, 1933-07-27, M, FUSSBALL
Diederich, Doreen, 1918-09-27, F, FECHTEN
Daecher, Erik, 1951-07-13, M, RADSPORT
Decker, Eric, 1963-05-18, M, RUDERN
Dietrich, Eric, 1938-03-23, M, HANDBALL
Dresdner, Eric, 1939-03-23, M, RADSPORT
Durr, Eric, 1946-01-28, M, LEICHTATHLETIK
Decker, Erik, 1991-06-29, M, HANDBALL
Durr, Frank, 1955-12-06, M, SCHWIMMEN
Durr, Felix, 1939-01-09, M, HANDBALL
Dresner, Franziska, 1945-01-09, F, REITEN
Drescher, Franziska, 1959-01-09, F, RUDERN
Dresdner, Felix, 1953-04-10, M, FECHTEN
Drechsler, Felix, 1959-09-11, M, LEICHTATHLETIK
Drescher, Felix, 1986-10-11, M, FECHTEN
Dresdner, Frank, 1954-03-15, M, RUDERN
Dietrich, Felix, 1970-03-15, M, RUDERN
Duerr, Franziska, 1936-02-20, F, LEICHTATHLETIK
Diederich, Felix, 1923-05-21, M, RUDERN
Dietrich, Felix, 1918-06-21, M, SCHWIMMEN
Dreher, Frank, 1957-07-21, M, RADSPORT
Drescher, Frank, 1917-10-22, M, HANDBALL
Drechsler, Felix, 1934-04-26, M, LEICHTATHLETIK
Dietrich, Felix, 1928-09-27, M, RADSPORT
Drescher, Gabriele, 1942-01-06, F, RUDERN
Diederich, Gabriele, 1961-04-23, F, RUDERN
Dresdner, Heike, 1945-11-10, F, FECHTEN
Durr, Ines, 1990-04-06, F, RUDERN
Drescher, Ines, 1954-02-22, F, FECHTEN
Diederich, Juliane, 1959-04-03, F, SCHWIMMEN
Dietrich, Jessika, 1980-04-03, F, TANZEN
Drechsler, Juliane, 1972-05-03, F, SCHWIMMEN
Diederich, Juergen, 1980-05-03, M, TURNEN
Dresner, Julia, 1931-12-05, F, RADSPORT
Dietrich, Juergen, 1958-12-05, M, FECHTEN
Duerr, Jennifer, 1976-12-05, F, TANZEN
Durr, Joerg, 1929-01-08, M, HANDBALL
Daecher, Jan, 1969-01-08, M, RADSPORT
Diederich, Jan, 1951-02-08, M, REITEN
Duerr, Jessica, 1977-03-08, F, TURNEN
Drechsler, Jennifer, 1922-06-09, F, LEICHTATHLETIK
Daecher, Johanna, 1933-07-09, F, RUDERN
Dietrich, Jennifer, 1979-08-09, F, TANZEN
Dreher, Jennifer, 1965-11-10, F, SCHWIMMEN
Durr, Jan, 1934-04-14, M, HANDBALL
Drechsler, Jonas, 1968-09-15, M, TURNEN
Durr, Jan, 1980-09-15, M, HANDBALL
Dresner, Jan, 1947-10-15, M, TANZEN
Drescher, Joerg, 1971-02-19, M, TURNEN
Drechsler, Jessica, 1982-02-19, F, LEICHTATHLETIK
Decker, Jessika, 1928-03-19, F, FECHTEN
Duerr, Jana, 1936-07-20, F, FUSSBALL
Drescher, Jessica, 1991-07-20, F, LEICHTATHLETIK
Duerr, Julia, 1968-08-20, F, FUSSBALL
Drescher, Julia, 1971-09-20, F, REITEN
Daecher, Jana, 1983-09-20, F, FECHTEN
Dreher, Jonas, 1923-07-25, M, LEICHTATHLETIK
Durr, Johanna, 1938-10-26, F, TURNEN
Daecher, Jan, 1994-10-26, M, RADSPORT
Dreher, Juergen, 1917-11-26, M, SCHWIMMEN
Drechsler, Jessica, 1925-11-26, F, FUSSBALL
Dietrich, Jonas, 1993-11-26, M, FECHTEN
Durr, Janina, 1944-03-30, F, LEICHTATHLETIK
Dreher, Juergen, 1999-04-30, M, TURNEN
Durr, Juliane, 1942-05-30, F, RUDERN
Daecher, Johanna, 1944-05-30, F, SCHWIMMEN
Dietrich, Jessica, 1934-10-31, F, FUSSBALL
Daecher, Juergen, 1949-10-31, M, FECHTEN
Dietrich, Kevin, 1917-12-02, M, FUSSBALL
Drechsler, Kristian, 1987-01-05, M, RADSPORT
Durr, Katharina, 1944-06-06, F, FECHTEN
Diederich, Katharina, 1962-06-06, F, RADSPORT
Dietrich, Katharina, 1943-10-07, F, FECHTEN
Decker, Katja, 1952-10-07, F, TURNEN
Duerr, Katrin, 1942-04-11, F, SCHWIMMEN
Dresner, Katharina, 1960-04-11, F, TURNEN
Daecher, Kerstin, 1930-05-11, F, TANZEN
Decker, Katrin, 1984-02-16, F, RADSPORT
Duerr, Klaus, 1941-06-17, M, LEICHTATHLETIK
Dreher, Katrin, 1918-07-17, F, RADSPORT
Dreher, Klaus, 1946-07-17, M, REITEN
Dresdner, Katja, 1968-11-18, F, REITEN
Durr, Kerstin, 1919-12-18, F, TANZEN
Dietrich, Karin, 1952-01-21, F, TURNEN
Duerr, Kathrin, 1960-01-21, F, HANDBALL
Durr, Kevin, 1946-04-22, M, RADSPORT
Decker, Kathrin, 1968-05-22, F, LEICHTATHLETIK
Dresner, Katharina, 1982-06-22, F, RADSPORT
Dresdner, Karolin, 1987-06-22, F, LEICHTATHLETIK
Drechsler, Katrin, 1969-07-28, F, TANZEN
Decker, Katja, 1998-07-28, F, LEICHTATHLETIK
Dietrich, Katharina, 1966-12-29, F, REITEN
Diederich, Leah, 1961-01-02, F, SCHWIMMEN
Dreher, Lena, 1946-04-03, F, TANZEN
Drechsler, Luca, 1933-05-03, M, RUDERN
Diederich, Leon, 1976-09-04, M, FECHTEN
Dietrich, Lucas, 1935-11-04, M, RUDERN
Durr, Laura, 1960-11-04, F, SCHWIMMEN
Diederich, Lena, 1927-03-08, F, TURNEN
Duerr, Lukas, 1979-04-08, M, FUSSBALL
Diederich, Lisa, 1958-05-08, F, RADSPORT
Dresdner, Lisa, 1970-05-08, F, RADSPORT
Decker, Lucas, 1938-07-09, M, FUSSBALL
Daecher, Luca, 1990-07-09, M, TURNEN
Decker, Leon, 1922-08-09, M, SCHWIMMEN
Dietrich, Leon, 1935-10-09, M, HANDBALL
Drechsler, Leah, 1939-01-13, F, LEICHTATHLETIK
Daecher, Luca, 1945-02-13, M, REITEN
Drescher, Leah, 1970-05-14, F, HANDBALL
Dresner, Laura, 1934-08-14, F, TANZEN
Dresdner, Lea, 1932-10-15, F, FECHTEN
Durr, Lena, 1971-05-19, F, RADSPORT
Duerr, Lisa, 1993-05-19, F, SCHWIMMEN
Duerr, Leah, 1934-06-19, F, FECHTEN
Drechsler, Luca, 1991-06-19, M, REITEN
Dresner, Lea, 1996-09-20, F, FUSSBALL
Daecher, Lucas, 1935-10-20, M, HANDBALL
Dietrich, Lea, 1937-10-20, F, LEICHTATHLETIK
Drechsler, Lucas, 1983-11-20, M, RADSPORT
Decker, Lukas, 1971-01-24, M, HANDBALL
Durr, Lisa, 1990-01-24, F, REITEN
Durr, Laura, 1996-02-24, F, REITEN
Diederich, Leonie, 1976-06-25, F, FUSSBALL
Duerr, Laura, 1977-09-25, F, RUDERN
Decker, Lena, 1922-12-26, F, SCHWIMMEN
Durr, Lena, 1933-12-26, F, REITEN
Drescher, Lukas, 1975-01-29, M, SCHWIMMEN
Dreher, Lucas, 1919-04-30, M, TURNEN
Drescher, Laura, 1941-04-30, F, RUDERN
Dresdner, Lukas, 1969-04-30, M, FUSSBALL
Dietrich, Lea, 1920-05-30, F, FECHTEN
Dietrich, Leon, 1997-05-30, M, RUDERN
Dietrich, Luca, 1924-06-30, M, FUSSBALL
Dresdner, Laura, 1953-07-30, F, TANZEN
Drechsler, Lea, 1998-10-31, F, RUDERN
Decker, Michelle, 1934-09-01, F, TURNEN
Dietrich, Manuela, 1935-09-01, F, REITEN
Dresdner, Mike, 1917-10-01, M, LEICHTATHLETIK
Durr, Maximilian, 1968-10-01, M, LEICHTATHLETIK
Dreher, Marko, 1981-02-05, M, SCHWIMMEN
Decker, Matthias, 1972-03-05, M, RADSPORT
Dietrich, Mathias, 1989-03-05, M, REITEN
Daecher, Monika, 1923-08-06, F, RUDERN
Dreher, Matthias, 1943-12-07, M, FECHTEN
Decker, Michael, 1948-12-07, M, SCHWIMMEN
Durr, Michael, 1988-12-07, M, SCHWIMMEN
Dresdner, Melanie, 1940-05-11, F, HANDBALL
Dreher, Monika, 1966-05-11, F, REITEN
Dresdner, Marcel, 1992-05-11, M, RADSPORT
Daecher, Marco, 1966-06-11, M, TURNEN
Drechsler, Melanie, 1972-06-11, F, RADSPORT
Decker, Marcel, 1985-06-11, M, HANDBALL
Durr, Maximilian, 1928-10-12, M, REITEN
Dresner, Maik, 1980-10-12, M, TURNEN
Dietrich, Michelle, 1981-10-12, F, TURNEN
Durr, Michael, 1946-11-12, M, FUSSBALL
Dresner, Martina, 1964-11-12, F, FUSSBALL
Dreher, Marko, 1993-03-16, M, TURNEN
Durr, Maik, 1961-08-17, M, RADSPORT
Daecher, Maximilian, 1919-09-17, M, RADSPORT
Diederich, Matthias, 1941-09-17, M, TURNEN
Dreher, Monika, 1980-09-17, F, LEICHTATHLETIK
Diederich, Manuela, 1942-12-18, F, FUSSBALL
Daecher, Michelle, 1961-12-18, F, FUSSBALL
Duerr, Mike, 1966-12-18, M, SCHWIMMEN
Drechsler, Mike, 1924-02-21, M, SCHWIMMEN
Durr, Martin, 1951-02-21, M, TANZEN
Diederich, Mike, 1979-02-21, M, LEICHTATHLETIK
Dresner, Marie, 1937-06-22, F, FECHTEN
Drescher, Michael, 1971-07-22, M, TANZEN
Dresdner, Monika, 1997-07-22, F, FUSSBALL
Durr, Markus, 1962-11-23, M, FUSSBALL
Drechsler, Mike, 1993-11-23, M, RADSPORT
Dreher, Mathias, 1947-12-23, M, SCHWIMMEN
Drescher, Marko, 1953-12-23, M, TURNEN
Diederich, Markus, 1962-12-23, M, TANZEN
Diederich, Mario, 1967-04-27, M, HANDBALL
Durr, Michelle, 1973-05-27, F, FUSSBALL
Dresner, Manuela, 1978-09-28, F, TURNEN
Duerr, Markus, 1986-09-28, M, HANDBALL
Daecher, Martin, 1988-09-28, M, FUSSBALL
Daecher, Mario, 1998-09-28, M, LEICHTATHLETIK
Dietrich, Nadine, 1975-02-02, F, TANZEN
Dresner, Niklas, 1949-12-04, M, HANDBALL
Diederich, Nicole, 1936-06-08, F, FUSSBALL
Diederich, Nicole, 1946-11-09, F, REITEN
Drechsler, Nicole, 1956-03-13, F, RADSPORT
Dietrich, Nadine, 1969-10-20, F, HANDBALL
Drechsler, Nadine, 1944-10-25, F, RADSPORT
Dietrich, Nadine, 1935-01-29, F, FECHTEN
Dresdner, Patrick, 1965-05-02, M, FUSSBALL
Drechsler, Petra, 1959-10-03, F, RADSPORT
Dresner, Philipp, 1929-01-07, M, FECHTEN
Duerr, Patrick, 1948-06-08, M, LEICHTATHLETIK
Duerr, Patrick, 1929-08-08, M, FUSSBALL
Drechsler, Petra, 1996-08-08, F, RUDERN
Dresner, Patrick, 1998-10-09, M, SCHWIMMEN
Drescher, Patrick, 1976-12-09, M, LEICHTATHLETIK
Drescher, Patrick, 1954-09-14, M, TANZEN
Dresner, Philipp, 1931-02-18, M, RUDERN
Dresner, Patrick, 1924-09-19, M, FECHTEN
Diederich, Phillipp, 1977-09-19, M, LEICHTATHLETIK
Dresdner, Peter, 1918-11-20, M, TURNEN
Dreher, Patrick, 1975-12-20, M, SCHWIMMEN
Drescher, Paul, 1998-02-23, M, LEICHTATHLETIK
Dreher, Peter, 1922-08-30, M, SCHWIMMEN
Dresner, Ralph, 1964-11-03, M, FECHTEN
Dreher, Rene, 1971-02-07, M, SCHWIMMEN
Diederich, Robert, 1958-05-07, M, FECHTEN
Dresdner, Rene, 1934-07-08, M, TANZEN
Decker, Rene, 1917-09-08, M, TURNEN
Drescher, Robert, 1935-09-08, M, RUDERN
Durr, Ralph, 1930-05-13, M, SCHWIMMEN
Drechsler, Ralph, 1994-08-13, M, RADSPORT
Drescher, Rene, 1957-04-18, M, FECHTEN
Decker, Ralf, 1947-08-19, M, TANZEN
Dresner, Ralph, 1988-02-23, M, FUSSBALL
Dietrich, Ralf, 1932-04-23, M, SCHWIMMEN
Diederich, Ralph, 1994-04-23, M, TURNEN
